,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,,,,,
2023-05-02,303.5492991043437,304.9498540934286,299.75196801132864,301.2314453125,26404400,168.57695592218053,168.8346527635164,166.0496364953305,167.04074096679688,48425700
2023-05-03,302.4248876611593,304.3876512860418,299.92950376970987,300.2352600097656,22360800,167.99220106828838,169.39956754565748,165.67302032909086,165.96043395996094,65136000
2023-05-04,302.05007617512933,303.5492991043437,299.24893609691674,301.2314453125,22519900,163.42322802207295,165.55409674723404,162.848385570496,164.31521606445312,81235400
2023-05-05,301.5372081436392,307.7016970333839,300.10703468120107,306.3997497558594,28181200,169.45902904213452,172.74950296676494,169.24098486047572,172.0260009765625,113316400
2023-05-08,305.886855215998,305.95590471108136,301.9021214288919,304.4270935058594,21318600,170.94568850577377,172.30351186374347,170.57898470464832,171.9566192626953,55962800
2023-05-09,303.78600080160834,305.79809832583857,302.1191206619338,302.7996826171875,21340800,171.51063216959898,171.99626368287582,170.0735337075861,170.2420196533203,45326900
2023-05-10,304.39750145489603,308.71757975112604,303.4605172760594,308.0370178222656,30078000,171.4808778133282,172.48188775635265,170.37083066450225,172.0160675048828,53724500
2023-05-11,305.8572227175548,306.86325625765073,302.06976514891244,305.8670654296875,31680200,172.30350796985275,173.03691555552936,170.63844469472525,172.2043914794922,49514700
2023-05-12,306.30113700897044,306.3997748592965,302.4051977714823,304.7427673339844,19758100,172.3135560619337,172.75024761525086,169.7132756322357,171.27146911621094,45497800
2023-05-15,304.8709530895723,305.65999558742567,303.3816030173291,305.22601318359375,16336500,171.85701716146394,171.9066439525377,170.17973157337624,170.7752227783203,37266700
2023-05-16,305.59092131205534,309.4178403264206,305.59092131205534,307.47479248046875,26730300,170.69582294139641,171.83716341624037,170.50725022169846,170.7752227783203,42110300
2023-05-17,308.69063785690577,310.805957105948,307.15848464072695,310.38092041015625,24315000,170.41795757208934,171.62876362745493,169.13765582565435,171.3905792236328,57951600
2023-05-18,310.9048433402556,315.36287241565884,310.1041815113746,314.8488464355469,27276000,171.6982259620468,173.92137607373184,171.28138815560044,173.73280334472656,65496700
2023-05-19,313.08933355752697,315.07617651189463,312.72360290073794,314.6708984375,27529500,175.06272037880413,175.06272037880413,173.62363419943688,173.84197998046875,55772400
2023-05-22,314.9278991458185,318.8719017134637,314.3447029636588,317.4781494140625,24115700,172.6708601403215,173.3953780620173,172.14484940723798,172.8892059326172,43570900
2023-05-23,316.3414461324922,319.00044455657815,311.61653992956735,311.6264343261719,30797200,171.8272670994411,172.07538594402806,169.99118159190851,170.26907348632812,50747300
2023-05-24,311.1025282287602,312.85211688528767,309.0069373671883,310.232666015625,23384900,169.80259482166662,171.1225887831174,169.2368917775998,170.5469512939453,45143500
2023-05-25,319.5144097615483,323.1322291686583,316.31176281610414,322.1635437011719,43301700,171.11268642842802,172.5914650743336,170.39810293275275,171.68832397460938,56058300
2023-05-26,320.2854006128314,329.5572934697722,320.147029910554,329.0531921386719,36630600,172.01583117068753,174.44739269623702,171.80740468839622,174.1099395751953,54835000
2023-05-30,331.36620250707483,331.8703038143698,326.71046750825445,327.39251708984375,29503100,175.62844336557998,177.64316710040904,175.24137858755796,175.96588134765625,55964400
2023-05-31,328.4601464265124,332.0680717293072,323.5572919875498,324.6051025390625,45950600,175.99567487837328,178.0004795449162,175.42995659790392,175.91627502441406,99625300
2023-06-01,322.1734171605526,329.6858277758173,320.97737171957544,328.74676513671875,26773900,176.3628631071657,178.76465158842046,175.59865286277548,178.73487854003906,68901800
2023-06-02,330.3975318385058,333.6100732849535,328.71711347710425,331.5342712402344,25864000,179.66779400262783,180.41215044305542,177.91110856290692,179.58839416503906,61945900
2023-06-05,331.3563210541783,334.65782124756686,330.80277791791184,332.0680236816406,21307100,181.25576664565278,183.55830143833987,176.70029356551757,178.2287139892578,121946500
2023-06-06,331.4650830529389,331.50463047248496,328.34153072317616,329.8341064453125,20396200,178.61577170881486,178.7646369385223,176.09487609665206,177.8614959716797,64848400
2023-06-07,327.8274725409219,330.6347357358875,318.7829393642212,319.6528015136719,40717100,177.09730925974853,179.84647030311896,175.9857416800345,176.4819793701172,61944600
2023-06-08,320.20634568769077,322.87523818509703,319.62314950969096,321.5111389160156,23277700,176.56135080082998,179.47923062220013,176.12467438732125,179.21127319335938,50214900
